,area-type,house-type,house-size,postcode,household-size,age-00,age-01,age-02,age-03,age-04,age-05,age-06,age-07,age-08,age-09,age-10,age-11,age-12,age-13,image,image-description,frequency-usage-office,frequency-usage-living-dining,frequency-usage-bedrooms,frequency-usage-kitchen,frequency-usage-outdoors,frequency-usage-berging,living-dining-hot,living-dining-cold,living-dining-humid,living-dining-fresh,living-dining-noisy,living-dining-poorly-lit,living-dining-well-lit,living-dining-wifi,living-dining-often-used,office-hot,office-cold,office-humid,office-fresh,office-noisy,office-poorly-lit,office-well-lit,office-wifi,office-often-used,bedroom-hot,bedroom-cold,bedroom-humid,bedroom-fresh,bedroom-noisy,bedroom-poorly-lit,bedroom-well-lit,bedroom-wifi,bedroom-often-used,kitchen-hot,kitchen-cold,kitchen-humid,kitchen-fresh,kitchen-noisy,kitchen-poorly-lit,kitchen-well-lit,kitchen-wifi,kitchen-often-used,outdoor-hot,outdoor-cold,outdoor-humid,outdoor-fresh,outdoor-noisy,outdoor-poorly-lit,outdoor-well-lit,outdoor-wifi,outdoor-often-used,berging-hot,berging-cold,berging-humid,berging-fresh,berging-noisy,berging-poorly-lit,berging-well-lit,berging-wifi,berging-often-used,learning-disability,items-available,spent-time-improving-space,money-spent,pandemic-changes,improve-space-constrain,space-happy,no-days-home,alone(y/n),next-steps
1,City,Apartment,50 - 75 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,City,Terraced,75 - 100 m²,2283,4,,,,,,46,56,14,11,,,,,,20230116_140414.jpg,"Een dichte deur is fijn, minder geluid maar ook lastig, is je kind wel bezig? Open keuken leidt snel af. Bureau onder hoogslaper was te klein en er stond speelgoed. Werken in huiskamer met 2 kinderen kon ouder (56) niet ivm online vergaderingen, dus eigen werkplek. 2 kinderen in huiskamer kon niet ivm online lessen. Dus 1 kind in eigen kamer, 1 ouder in werkkamer, 1 ouder in de ochtend beneden met kind van 11 - die had meeste begeleiding nodig. Die ouder werkte in de middag en avond",Rarely,Sometimes,Often,Never,Never,Never,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD/ADHD,"Keyboard,Laptop,Mouse,Speakers,Headphones,Microphone",Somewhat agree,€100 - €500,"Goede (bureau)stoelen, meer verwarmen, bureaulampen, 1 extra bureau, Wifiboosters, extra chromebook, headsets","Betere begeleiding, betere WiFi",2,0 days,Alone,Prize draw and future interview
3,City,Terraced,more than 200 m²,1096,4,,,,,,48,44,9,5,,,,,,WhatsApp Image 2023-01-19 at 13.39.07.jpeg,Het is nog zozeer de plek als wat er afleidend is. Beiden raken van schermen erg afgeleid. Dus aan de ene kant hebben ze het wel nodig voor huiswerk en videobellen maar tegelijkertijd leidt het ook enorm af.,Sometimes,Always,Never,Always,Never,Never,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,No,No,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,Other,"Desktop computer,Keyboard,Laptop,Mouse,Tablet,Speakers,Headphones,Microphone",Somewhat agree,€0 - €100,Betere indeling meubelen/tafels,nee,5,0 days,Alone,Prize draw and future interview
5,City,Terraced,100 - 150 m²,6851,3,,,,,,,,,,62,50,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,City,Terraced,75 - 100 m²,3604,4,,,,,,44,44,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Village,Semi-detached,150 - 200 m²,4255,3,,,,,,,,,,37,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Village,Terraced,100 - 150 m²,2925,3,,,,,,,,,,47,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Village,Detached,150 - 200 m²,7934,3,,,,,,,,,,51,50,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,City,Terraced,100 - 150 m²,1339,5,8,11,14,40,42,,,,,,,,,,,,,Often,Often,Never,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,,,,,,,No,No,No,No,No,No,Yes,Yes,No,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,No,"Desktop computer,Keyboard,Laptop,Mouse,Tablet,Speakers,Headphones,Microphone",Strongly disagree,€0 - €100,Geen,Nee,4,1 day,Alone,Prize draw only
20,City,Terraced,100 - 150 m²,1022,5,44,40,10,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Countryside,Apartment,75 - 100 m²,Ccxx,3,,,,,,,,,,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Village,Detached,more than 200 m²,,4,,,,,,8,13,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,City,Terraced,50 - 75 m²,3816,3,,,,,,,,,,22,25,46,,,,,Never,Always,Always,Always,Often,Often,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,ADD/ADHD,Laptop,Neither agree nor disagree,€0 - €100,Nothing,Nothing ,4,,,
32,City,Apartment,75 - 100 m²,1103,3,,,,,,,,,,43,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Village,Semi-detached,less than 50 m²,1111,3,,,,,,,,,,44,48,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,City,Apartment,75 - 100 m²,,5,14,12,9,39,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,City,Terraced,75 - 100 m²,1356,4,,,,,,35,30,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,City,Terraced,150 - 200 m²,1104,4,,,,,,8,10,44,41,,,,,,,,Never,Often,Often,Never,Never,Often,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,No,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Keyboard,Laptop,Mouse,Speakers,Headphones",Neither agree nor disagree,€100 - €500,"Keyboard, laptop, webcam",Nee,2,0 days,Alone,
39,City,Apartment,100 - 150 m²,1014,4,,,,,,42,43,11,13,,,,,,,,,Sometimes,Often,Sometimes,Never,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,,,,,,,,,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,"No, however we suspect our child(ren) may have a learning disability","Desktop computer,Laptop,Mouse,Tablet",Somewhat disagree,€100 - €500,Beter licht. Een lamp gekocht. ,Nee,4,,Alone,Prize draw only
40,City,Apartment,75 - 100 m²,1051,2,,,,,,,,,,,,,52,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,City,Apartment,75 - 100 m²,1103,3,,,,,,,,,,43,44,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Suburbs,Terraced,75 - 100 m²,1066,5,45,40,14,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
